pure_org_id	org_name
dedb4ad5-6dac-42f3-8b4d-aead37167017	Global Feminisms
1a822217-a948-4a20-acc6-f8669050dce1	School Of Civil Aerospace And Mechanical Engineering
38bd447a-c111-41f3-94a2-e3b3bf1409d2	Microelectronics
fcbe005e-def6-4b17-abb0-55a3967096a9	Department Of French
09d3e9b1-3f24-4c2b-990b-f02006505080	Decisionmaking And Rationality
a8469ab0-8c28-4dd2-a50b-c67445d693fe	School Of Biochemistry
fff23e87-c85e-44cd-802e-78ed1b4c4231	Epsrc Centre For Doctoral Training In Communications
c3069607-16f6-4c6b-8e06-2957361d3414	The Hadley Centre For Adoption And Foster Care Studies
97b3cf16-ddea-4512-a433-0402fc6722b6	Centre For The Study Of Poverty And Social Justice
d790ec40-16f3-40f4-8506-86870a0c900c	Oral Histories
d8dfed1c-f848-4bd5-a75b-ca9f02ea2ddd	Bristol Renal
762a45ee-4068-4265-a096-968baacfe441	Palaeobiology
cc638e8d-2245-4804-95b3-e2932e53fefc	Atmospheric Chemistry
9c6cbc06-866b-4667-bd2e-4cc2b980ccc2	Geographies Of Political Economy
46648873-00f1-43d5-9838-aa825745ae03	Health Sciences Faculty Office
bd0017ba-94ec-4e26-91c0-16193584a64b	Department Of Classics  Ancient History
70a7ae3c-db41-4182-9c3d-f3a081f02163	School For Policy Studies
55245e6b-5338-4095-86a4-9f621cfa479b	Dynamics And Control
0e12b673-b216-4bb9-b669-83406a32aab9	Photonics
dc4d7820-7b26-4d2e-a11d-35bcc55d2137	Synthesis
96e43b52-9426-4eae-b0b1-faf73c753cc4	Centre For Christianity And Culture
a489cd9c-c637-4ad3-a44b-034f6ea43050	University Of Bristol Law School
f33c2972-40c8-4d6e-8e16-6cd390dd73f7	Remembr Group
2e03dd35-6e76-4c87-9d20-30f321d86353	Algebra
3a945083-b7c0-4b1b-8175-7fe3ae636e0d	Epsrc Centre For Doctoral Training In Advanced Composites For Innovation And Science Accis Cdt
29eb4582-d872-45ba-9fb2-0efa745375ae	Marine And Terrestrial Environments
2a93991c-0d6c-41a4-af8a-d11b0f105602	Centre For Structural Econometrics
58838096-8631-4801-bab7-442477c20124	School Of Psychological Science
db0bfb07-71e9-4811-8d7b-0bdaa7ee144c	Applied Nonlinear Mathematics
0e855682-af08-4bdd-aadc-b758cf365b92	Cognitive Processes
db41b2d7-d35b-48dc-bedf-c50635086519	Colonialism
45bf9ab2-2437-4c8f-a58e-0afd3e67f261	Tactile Action And Perception
46944f7d-c83b-4cfd-a702-7751e1cdf43e	Department Of Computer Science
6fd2bdeb-1450-430a-ac7b-17ef3e29992f	It Services
dc6ff9f9-4fa5-4491-aa34-7f71faced663	Neuroepigenetics Of Stress And Cognition Research Group
fd84f738-86e0-4faa-996f-6856d019e86c	Department Of Electrical  Electronic Engineering
bed5526a-fdc4-4bb4-8247-08aaa3b36672	Veterinary Pathology And Infection And Immunity
bdab2c16-49ca-4ad3-8d12-c497fd8f3973	Translational Neuroscience Research Group
5a8c9677-8cba-4c17-ae4f-b0c1bf33d1ef	Centre For Academic Mental Health
c329ff3e-e359-42d8-8284-519d7ace52c4	Statistical Science
532bfde3-3a82-4b99-87f1-fcd1f5c944b8	School Of Arts
def36207-8a37-4667-887c-d52eba3f04e8	Epsrc Centre For Doctoral Training In Chemical Synthesis
eb0b3d4c-d50f-4f12-a2c3-689827ffcea2	Action Research And Critical Inquiry In Organisations
8c61386a-acb5-4444-aea2-1fcf2c7553f0	Bristol Veterinary School
57e3179e-8348-4012-9e80-c7066603626e	Brain Behaviour And Health
2f061be5-c671-43a0-a4f0-895967dd69e5	Senior Team
